id;start_date;end_date;language
1;2021-07-08T04:04:19;2021-07-08T01:54:34;ENGLISH
2;2021-07-07T13:31:54;2021-07-07T22:57:23;FRENCH
3;2021-07-07T23:28:06;2021-07-07T11:33:14;SPANISH
4;2021-07-08T03:58:55;2021-07-07T09:25:14;FRENCH
5;2021-07-08T06:15:18;2021-07-07T14:34:16;ENGLISH
6;2021-07-07T15:46:01;2021-07-08T05:46:21;SPANISH
7;2021-07-07T23:49:49;2021-07-07T10:23:58;FRENCH
8;2021-07-07T14:15:42;2021-07-07T10:51:31;FRENCH
9;2021-07-07T15:07:20;2021-07-08T02:38:46;FRENCH
10;2021-07-07T11:04:18;2021-07-08T04:01:47;FRENCH
